player,mu_generic,sigma_generic,ATP,mov_w_scale,mov_w_cap
Coria F.,1.811991688080464,0.32561300243450003,1,0.35,3
Barrios M.,1.4816189160164346,0.49212564714571116,1,0.35,3
Garin C.,2.6052457018225783,0.2688056513449671,1,0.35,3
Delbonis F.,2.732869010160708,1.0008881952245583,1,0.35,3
Pella G.,1.73256848813386,0.3064769089804744,1,0.35,3
Sousa J.,0.16029436821667506,0.5862044065007042,1,0.35,3
Dellien H.,1.2058572831415015,0.350025440656033,1,0.35,3
Baez S.,2.887532800288791,0.20073885497238,1,0.35,3
Ramos-Vinolas A.,1.8784051812383888,0.25586271337626754,1,0.35,3
Sock J.,1.7050703422814648,0.6033549692717377,1,0.35,3
Thompson J.,2.7225534216449696,0.22857563169315614,1,0.35,3
Albot R.,1.443921583883345,0.3580421627610693,1,0.35,3
Wu Y.,2.3511103971581067,0.2770861684590215,1,0.35,3
Isner J.,2.1556249980812283,0.33220304374528276,1,0.35,3
Gomez E.,0.9949775285535065,0.5832828935105727,1,0.35,3
Altmaier D.,2.0675521597066373,0.24952293056768093,1,0.35,3
Otte O.,1.8243442815561797,0.3393617927950054,1,0.35,3
Fils A.,3.3764341134921594,0.24284957300920973,1,0.35,3
Basilashvili N.,0.15702588477809584,0.6957326065232081,1,0.35,3
Rinderknech A.,1.7488909598118814,0.25902326628668,1,0.35,3
Coric B.,2.6118065913400397,0.2381674636928835,1,0.35,3
Cachin P.,2.2324510123222603,0.24170188882142074,1,0.35,3
Munar J.,2.141618376937266,0.25039028310170586,1,0.35,3
Ugo Carabelli C.,1.2227071456933123,0.7975489551184526,1,0.35,3
Diaz Acosta F.,1.8044308536770377,0.5665041774230757,1,0.35,3
Varillas J. P.,2.411902799818983,0.4710470591115444,1,0.35,3
Thiem D.,2.3700002575295236,0.24200578893557184,1,0.35,3
Alcaraz C.,5.454988649436947,0.20758302924726826,1,0.35,3
Musetti L.,3.307501340282633,0.2028722859097338,1,0.35,3
Borges N.,1.2335191718156975,0.3485180577786844,1,0.35,3
Vukic A.,1.9481729278083877,0.2887956340105954,1,0.35,3
Pecotic M.,2.2718179104967007,0.8901423858214531,1,0.35,3
Wawrinka S.,3.256751833512414,0.22513470256864038,1,0.35,3
Brouwer G.,2.452251292261622,0.35508222052423616,1,0.35,3
O Connell C.,2.317618253783783,0.23456025726403276,1,0.35,3
Broady L.,2.0718374754867765,0.41792305109669664,1,0.35,3
Muller A.,1.675672903596297,0.33767490426941915,1,0.35,3
