"Date","ATP","Tournament","Round","Surface","Court","Winner","Loser","B365W","B365L","TTT_Pct_W","TTT_Pct_L","pred","ttt_correct","bookie_pred","bookie_correct","bet365_right_ttt_wrong","ATPk"
2024-08-27,51,"US Open","1st Round","Hard","Outdoor","Draper J.","Zhang Zh.",1.25,4,91.4,8.6,"Draper J.",TRUE,"Draper J.",TRUE,FALSE,51
2024-08-27,51,"US Open","1st Round","Hard","Outdoor","Borges N.","Coria F.",1.11,6.5,42.78,57.22,"Coria F.",FALSE,"Borges N.",TRUE,TRUE,51
2024-08-27,51,"US Open","1st Round","Hard","Outdoor","Diaz Acosta F.","Gaston H.",2.38,1.57,33.39,66.61,"Gaston H.",FALSE,"Gaston H.",FALSE,FALSE,51
2024-08-27,51,"US Open","1st Round","Hard","Outdoor","De Minaur A.","Giron M.",1.29,3.75,99.94,0.06,"De Minaur A.",TRUE,"De Minaur A.",TRUE,FALSE,51
2024-08-27,51,"US Open","1st Round","Hard","Outdoor","Medvedev D.","Lajovic D.",1.04,13,100,0,"Medvedev D.",TRUE,"Medvedev D.",TRUE,FALSE,51
2024-08-27,51,"US Open","1st Round","Hard","Outdoor","Purcell M.","Vukic A.",2.2,1.67,49.74,50.26,"Vukic A.",FALSE,"Vukic A.",FALSE,FALSE,51
2024-08-27,51,"US Open","1st Round","Hard","Outdoor","Korda S.","Moutet C.",1.22,4.33,99.94,0.06,"Korda S.",TRUE,"Korda S.",TRUE,FALSE,51
2024-08-27,51,"US Open","1st Round","Hard","Outdoor","Cobolli F.","Duckworth J.",1.3,3.5,98.85,1.15,"Cobolli F.",TRUE,"Cobolli F.",TRUE,FALSE,51
2024-08-27,51,"US Open","1st Round","Hard","Outdoor","Bergs Z.","Kotov P.",1.8,2,2.3,97.7,"Kotov P.",FALSE,"Bergs Z.",TRUE,TRUE,51
2024-08-27,51,"US Open","1st Round","Hard","Outdoor","O Connell C.","Jarry N.",2.75,1.44,1.19,98.81,"Jarry N.",FALSE,"Jarry N.",FALSE,FALSE,51
2024-08-28,51,"US Open","1st Round","Hard","Outdoor","Paul T.","Sonego L.",1.22,4.33,88.73,11.27,"Paul T.",TRUE,"Paul T.",TRUE,FALSE,51
